,tradeTime,price
5027,2016-03-06,43691.5
5028,2016-03-07,43122.8
5029,2016-03-08,43892.3
5030,2016-03-09,43749.5
5031,2016-03-10,44688.0
5032,2016-03-11,45031.6
5033,2016-03-12,43940.1
5034,2016-03-13,43589.0
5035,2016-03-14,43972.7
5036,2016-03-15,43710.9
5037,2016-03-16,48881.2
5038,2016-03-17,44191.1
5039,2016-03-18,46535.5
5040,2016-03-19,42952.1
5041,2016-03-20,44454.3
5042,2016-03-21,46669.2
5043,2016-03-22,45396.1
5044,2016-03-23,45588.7
5045,2016-03-24,47735.4
5046,2016-03-25,46727.8
5047,2016-03-26,44334.7
5048,2016-03-27,43353.7
5049,2016-03-28,46683.4
5050,2016-03-29,45108.0
5051,2016-03-30,46578.6
5052,2016-03-31,47304.9
5053,2016-04-01,48851.5
5054,2016-04-02,43264.7
5055,2016-04-03,45608.7
5056,2016-04-04,44856.9
5057,2016-04-05,47310.4
5058,2016-04-06,47456.6
5059,2016-04-07,45434.6
5060,2016-04-08,47447.7
5061,2016-04-09,45915.9
5062,2016-04-10,44170.4
5063,2016-04-11,43102.7
5064,2016-04-12,48026.4
5065,2016-04-13,45274.0
5066,2016-04-14,48376.8
5067,2016-04-15,46767.0
5068,2016-04-16,46958.4
5069,2016-04-17,44371.9
5070,2016-04-18,43933.6
5071,2016-04-19,46019.8
5072,2016-04-20,44887.1
5073,2016-04-21,46235.5
5074,2016-04-22,46971.2
5075,2016-04-23,44207.6
5076,2016-04-24,45667.5
5077,2016-04-25,44901.3
5078,2016-04-26,48945.2
5079,2016-04-27,44788.4
5080,2016-04-28,45693.0
5081,2016-04-29,43876.3
5082,2016-04-30,45475.1
5083,2016-05-01,44424.8
5084,2016-05-02,44856.4
5085,2016-05-03,45263.6
5086,2016-05-04,49289.1
5087,2016-05-05,47013.6
5088,2016-05-06,45057.3
5089,2016-05-07,46740.4
5090,2016-05-08,44297.7
5091,2016-05-09,49380.8
5092,2016-05-10,44370.7
5093,2016-05-11,45778.9
5094,2016-05-12,46638.9
5095,2016-05-13,48609.6
5096,2016-05-14,46556.1
5097,2016-05-15,46098.5
5098,2016-05-16,47874.6
5099,2016-05-17,49785.4
5100,2016-05-18,49712.4
5101,2016-05-19,43899.9
5102,2016-05-20,43896.4
5103,2016-05-21,46566.7
5104,2016-05-22,47548.5
5105,2016-05-23,46328.0
5106,2016-05-24,48450.7
5107,2016-05-25,50941.6
5108,2016-05-26,46209.2
5109,2016-05-27,51071.0
5110,2016-05-28,44198.1
5111,2016-05-29,47312.9
5112,2016-05-30,50408.1
5113,2016-05-31,46309.6
5114,2016-06-01,50863.8
5115,2016-06-02,45622.2
5116,2016-06-03,45838.2
5117,2016-06-04,44825.1
5118,2016-06-05,46615.7
5119,2016-06-06,47417.0
5120,2016-06-07,47294.2
5121,2016-06-08,51819.6
5122,2016-06-09,46517.3
5123,2016-06-10,44598.3
5124,2016-06-11,47067.4
5125,2016-06-12,47168.6
5126,2016-06-13,49339.9
5127,2016-06-14,50680.8
5128,2016-06-15,52021.8
5129,2016-06-16,45409.2
5130,2016-06-17,46993.5
5131,2016-06-18,45682.3
5132,2016-06-19,46992.0
5133,2016-06-20,46305.9
5134,2016-06-21,48314.4
5135,2016-06-22,49641.2
5136,2016-06-23,49215.0
5137,2016-06-24,47901.6
5138,2016-06-25,48663.4
5139,2016-06-26,48556.7
5140,2016-06-27,46122.6
5141,2016-06-28,50312.8
5142,2016-06-29,49611.7
5143,2016-06-30,49524.9
5144,2016-07-01,48639.6
5145,2016-07-02,46002.5
5146,2016-07-03,52120.5
5147,2016-07-04,45664.8
5148,2016-07-05,48439.9
5149,2016-07-06,49093.7
5150,2016-07-07,49873.0
5151,2016-07-08,48110.9
5152,2016-07-09,48246.8
5153,2016-07-10,47951.9
5154,2016-07-11,48180.0
5155,2016-07-12,48998.2
5156,2016-07-13,47653.3
5157,2016-07-14,50319.3
5158,2016-07-15,50326.9
5159,2016-07-16,49918.3
